st_mun_id,cases,death,covid19,coviddeath,male,indigenous,usmer,hospital,edad,state,class
15008,17,0,1,0,9,0,4,2,48.411766,15,1
15009,91,0,27,0,39,0,14,16,41.527473,15,1
15010,8,0,4,0,4,0,5,4,31,15,1
15011,47,4,10,2,25,1,13,19,40.872341,15,3
15012,144,4,21,2,82,0,67,58,43.909721,15,3
15013,698,47,256,34,340,11,299,243,45.581661,15,3
15014,176,5,9,4,87,2,95,69,39.409092,15,3
15015,21,2,6,1,12,0,4,8,48.476189,15,3
15016,29,0,4,0,10,1,3,6,45.241379,15,1
15017,10,0,2,0,4,0,2,2,48.900002,15,1
15018,90,1,13,0,45,2,20,17,42.077778,15,2
15019,56,4,7,3,24,0,20,19,42.80357,15,3
15020,326,13,120,11,169,1,66,117,44.996933,15,3
15021,29,1,4,1,16,0,6,11,32.793102,15,3
15022,30,2,10,0,14,0,14,9,40.366665,15,2
15023,47,6,15,4,22,0,11,15,43.489361,15,3
15024,366,14,127,9,193,1,110,107,44.01366,15,3
15025,896,26,320,22,466,8,251,323,42.006695,15,3
15026,25,0,0,0,16,0,1,2,36.759998,15,1
15027,31,0,3,0,16,0,0,1,43.419353,15,1
15028,25,0,3,0,12,0,5,6,46.639999,15,1
15029,236,4,67,4,110,1,72,75,43.046612,15,3
15030,18,0,4,0,5,0,5,6,39.666668,15,1
15031,977,45,364,39,544,17,183,506,43.766632,15,3
15032,23,1,0,0,7,4,2,5,39.217392,15,2
15033,2631,102,943,68,1430,13,539,981,44.230709,15,3
15034,6,0,4,0,3,0,3,2,40,15,1
15035,103,3,26,0,51,1,33,31,40.31068,15,2
15036,21,1,6,1,6,1,7,9,42.57143,15,3
15037,598,8,152,6,297,2,149,124,43.239132,15,3
15038,5,0,2,0,2,0,1,0,49.799999,15,1
15039,672,32,272,27,359,6,134,273,44.49107,15,3
15040,60,0,1,0,21,1,9,4,34.466667,15,1
15041,2,0,0,0,1,0,1,1,59,15,1
15042,151,20,54,15,92,15,62,95,45.562916,15,3
15043,69,3,13,2,34,0,13,14,42.275364,15,3
15044,14,1,3,0,11,0,4,5,37.214287,15,2
15045,135,2,5,1,47,0,3,15,36.844444,15,3
15046,15,1,5,0,11,0,3,3,40.133335,15,2
15047,34,2,7,1,17,3,13,21,38.823528,15,3
15048,91,2,10,1,51,1,32,25,36.67033,15,3
15049,11,1,0,0,6,0,9,6,38.909092,15,2
15050,17,0,3,0,9,0,2,4,44.411766,15,1
15051,176,2,37,1,78,0,38,45,42.221592,15,3
15052,5,0,0,0,4,0,1,0,38.599998,15,1
15053,62,2,16,1,30,0,20,27,43.30645,15,3
15054,449,6,91,4,230,2,68,73,41.67038,15,3
15055,14,1,2,0,8,0,8,7,47.42857,15,2
15056,27,2,1,1,12,1,8,8,38.444443,15,3
15057,1896,45,567,31,965,12,767,919,45.817509,15,3
15058,2761,106,968,79,1437,10,720,937,45.572258,15,3
15059,31,0,5,0,17,0,14,13,40.451614,15,1
15060,532,33,215,25,274,5,210,180,43.744362,15,3
15061,12,0,1,0,5,0,0,1,43.166668,15,1
15062,72,1,18,1,36,2,19,22,42.013889,15,3
15063,20,0,3,0,13,0,8,9,38.849998,15,1
15064,113,6,13,3,56,2,26,31,40.495575,15,3
15065,48,6,15,4,28,0,9,21,43.3125,15,3
